DATE,NEI,NEI-PTER
1/1/1994,10.00721016,11.07361331
2/1/1994,9.833175257,10.98868116
3/1/1994,9.726928431,10.94154437
4/1/1994,9.593734296,10.77889089
5/1/1994,9.382671067,10.60460822
6/1/1994,9.375879566,10.58908774
7/1/1994,9.318171575,10.47955108
8/1/1994,9.26762178,10.38664531
9/1/1994,9.177751345,10.28570545
10/1/1994,9.103182589,10.24322378
11/1/1994,9.002915483,10.1535087
12/1/1994,8.922634537,10.04005219
1/1/1995,8.943243214,10.13692591
2/1/1995,8.872088838,9.952877404
3/1/1995,8.909060134,10.01258366
4/1/1995,8.998199131,10.08975534
5/1/1995,9.038052593,10.17335241
6/1/1995,8.976528941,10.09848095
7/1/1995,8.96260042,10.09840983
8/1/1995,9.003253637,10.14851241
9/1/1995,8.993436316,10.14291893
10/1/1995,8.986307311,10.10800648
11/1/1995,8.973341035,10.10934356
12/1/1995,8.99452404,10.10360291
1/1/1996,8.965744075,10.00864245
2/1/1996,8.943483851,10.02704429
3/1/1996,8.878080243,9.97396182
4/1/1996,8.869249813,9.952244685
5/1/1996,8.883732548,9.964791535
6/1/1996,8.737244029,9.808958525
7/1/1996,8.742742683,9.849612867
8/1/1996,8.654919659,9.754119731
9/1/1996,8.592426396,9.676353101
10/1/1996,8.641705155,9.724963789
11/1/1996,8.722456811,9.73016448
12/1/1996,8.647944144,9.727996571
1/1/1997,8.644815712,9.709367435
2/1/1997,8.644875587,9.679544547
3/1/1997,8.555500486,9.566980221
4/1/1997,8.453530076,9.497206511
5/1/1997,8.443942198,9.441866992
6/1/1997,8.402632721,9.385009039
7/1/1997,8.270887988,9.284765254
8/1/1997,8.233207484,9.230988829
9/1/1997,8.31013087,9.288768867
10/1/1997,8.207776796,9.185762636
11/1/1997,8.178245288,9.151113099
12/1/1997,8.204276035,9.147157185
1/1/1998,8.123707617,9.103685688
2/1/1998,8.075524191,9.016957465
3/1/1998,8.12479296,9.063678901
4/1/1998,7.957066407,8.838772403
5/1/1998,7.970063725,8.887465809
6/1/1998,8.037256823,8.958569054
7/1/1998,8.095804508,9.044185342
8/1/1998,8.069225389,8.937083821
9/1/1998,8.018832067,8.858215727
10/1/1998,8.033920471,8.873700832
11/1/1998,7.936968452,8.742810599
12/1/1998,7.912024896,8.736700303
1/1/1999,7.894506912,8.739047272
2/1/1999,7.935716139,8.762185743
3/1/1999,7.884910595,8.740703144
4/1/1999,8.066191735,8.857919778
5/1/1999,7.90222717,8.73198018
6/1/1999,7.92451476,8.74310738
7/1/1999,7.871272412,8.697526326
8/1/1999,7.842737363,8.644086431
9/1/1999,7.858736115,8.650680213
10/1/1999,7.756210818,8.519381673
11/1/1999,7.72602376,8.485025674
12/1/1999,7.678248747,8.4590829
1/1/2000,7.620675452,8.380784612
2/1/2000,7.735626449,8.481698676
3/1/2000,7.758785188,8.519269599
4/1/2000,7.633707593,8.357291422
5/1/2000,7.809096375,8.595850656
6/1/2000,7.652894645,8.402685162
7/1/2000,7.666440437,8.421505915
8/1/2000,7.698496563,8.472313569
9/1/2000,7.660553654,8.420332459
10/1/2000,7.646229223,8.398896082
11/1/2000,7.681330015,8.470898393
12/1/2000,7.664863251,8.414754121
1/1/2001,7.75580377,8.534526273
2/1/2001,7.788216101,8.549829522
3/1/2001,7.848164547,8.611666144
4/1/2001,7.998395316,8.746878131
5/1/2001,8.086923984,8.900888628
6/1/2001,8.166332033,9.046705971
7/1/2001,8.121815175,8.963447538
8/1/2001,8.435797802,9.249166087
9/1/2001,8.407786091,9.387081511
10/1/2001,8.671900531,9.698564323
11/1/2001,8.760034696,9.728456604
12/1/2001,8.869927631,9.877446289
1/1/2002,8.944246778,9.881729783
2/1/2002,8.850377399,9.825607796
3/1/2002,8.835247964,9.780010565
